sn	wn	nw	let	l	f	p	word	log_freq	bigram	pos_bigram	len	logitpred	spm	spu	sp1	rv1	sp5	rv5	sp10	rv10	sp15	rv15	sp20	rv20	sp25	rv25	sp30	rv30	sp50	rv50	sp100	rv100	freq.pm	scaled.freq	scaled.log.freq	log.rv100	scaled.log.rv100	freq.class	spu.class	sp100.class	rv1.class	rv100.class
1	1	7	2.11524163568773	3	2.26598930873877	-2.552972737	Den	NA	NA	NA	NA	NA	NA	1.85543129179537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
1	2	7	1.51366120218579	3	1.8221046311119	-2.552972737	Ton	1.6458622	2.3978953	15.822097	0.33333333	-2.55297274	6.61735	1.12957394529897	0.544266065392	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	44.2447963019342	0.00132354130717667	0.363796824610073	5.2812582127327	0.77476502189049	2	1	1	2	1
1	3	7	1.53719008264463	3	2.62154911623626	-1.198949818	gab	2.5293996	2.5649494	14.315436	0.33333333	-1.19894982	6.586956	2.36072930957195	0.344430885517	196.617105931	0.265168553075	196.617105931	0.17101849506	196.617105931	0.131553774163	395.929128334	0.107511373828	395.929128334	0.0508262924124	395.929128334	0.0400831925315	395.929128334	3.20342650381e-16	395.929128334	3.20342650381e-16	395.929128334	338.376037205774	0.0101221996716711	0.55909148569667	5.98123522638411	0.877452238545981	3	3	1	2	2
1	4	7	1.48404255319149	3	4.50477795437428	0.487688627	der	4.5241247	7.2122945	13.279692	0.33333333	0.48768863	10.592385	2.54246764610539	1.42976556915	51	0.505708013244	196.617105931	0.290665626116	196.617105931	0.235219174306	196.617105931	0.223944510197	196.617105931	0.240327358244	196.617105931	0.19729881487	196.617105931	0.14513973119	395.929128334	0.0425397153073	429.297861383	33429.1012014696	1	1	6.06215099358056	0.889322649652202	5	3	2	1	3
1	5	7	3.149377593361	8	1.7708586364227	-2.209410184	Künstler	1.9566447	6.7334019	15.822097	0.125	-2.20941018	6.54856	0.706685944192803	1.27525819246	371.57079941	0.86416742145	371.57079941	0.625523651354	371.57079941	0.619676986658	371.57079941	0.546883351745	371.57079941	0.494371500418	371.57079941	0.444711659773	371.57079941	0.3639366763	422.57079941	0.306744408771	422.57079941	90.4991916395036	0.00270719787212003	0.432491328101544	6.04635700532656	0.887005658290968	2	1	3	3	3
1	6	7	3.24691358024691	6	2.78348050759044	-2.552972737	seinem	2.7591176	1.6094379	12.213088	0.16666667	-2.55297274	6.586956	7.26465080998789	1.56744781158	51	1.08039441045	218.925658896	0.834272892871	218.925658896	0.577690989068	218.925658896	0.528201601532	218.925658896	0.525242011758	218.925658896	0.617229630034	218.925658896	0.602905684737	218.925658896	0.417551253387	724.82295772	574.271944813564	0.0171788030241243	0.609867716510997	6.58592742878564	0.966161093246766	3	5	3	1	3
1	7	7	3.66287878787879	9	0.876363351065238	-1.647922581	Gehilfen	NA	NA	NA	NA	NA	NA	0.345537613727552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
10	1	11	2.14537444933921	3	2.87867113035951	-2.209410184	Wir	NA	NA	NA	NA	NA	NA	4.55950368573624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA
10	10	11	1.41796875	3	3.10496143500334	-2.203367721	ihr	2.8766986	5.5606816	13.162879	0.33333333	-2.20336772	6.623793	3.1908401651966	1.92256812639	51	2.4367705183	181.662513795	0.573998524419	196.617105931	1.25372569129	196.617105931	1.20975112875	196.617105931	1.27639923004	196.617105931	1.34322831274	196.617105931	1.34180849299	196.617105931	1.34858130816	196.617105931	752.83291699425	0.0225202859166658	0.635857495263117	5.2812582127327	0.77476502189049	3	4	4	1	1
10	11	11	2.04022988505747	6	2.60270769261526	-0.364757879	kommt	NA	NA	NA	NA	NA	NA	5.23589757234665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA
