"sn" "roi" "word" "frequency" "freq.class" "len" "predictability" "target" "nw"
"1" 1 1 "margie" 1 1 6 0 0 12
"2" 1 2 "moved" 181 3 5 0 0 12
"3" 1 3 "into" 1789 4 4 0.2 0 12
"4" 1 4 "her" 3036 4 3 0.25 0 12
"5" 1 5 "new" 1635 4 3 0.65 1 12
"6" 1 6 "apartment" 81 2 9 0.75 0 12
"7" 1 7 "at" 5372 4 2 0 0 12
"8" 1 8 "the" 69974 5 3 0.6 0 12
"9" 1 9 "end" 409 3 3 0.1 0 12
"10" 1 10 "of" 36414 5 2 0.95 0 12
"11" 1 11 "the" 69974 5 3 1 0 12
"12" 1 12 "summer" 134 3 6 0.1 0 12
"13" 2 1 "the" 69974 5 3 0 0 10
"14" 2 2 "principal" 92 2 9 0 0 10
"15" 2 3 "introduced" 52 2 10 0 0 10
"16" 2 4 "the" 69974 5 3 0.8 0 10
"17" 2 5 "new" 1635 4 3 0.35 1 10
"18" 2 6 "president" 382 3 9 0 0 10
"19" 2 7 "of" 36414 5 2 0.55 0 10
"20" 2 8 "the" 69974 5 3 1 0 10
"21" 2 9 "junior" 75 2 6 0 0 10
"22" 2 10 "class" 207 3 5 0.7 0 10
"23" 3 1 "none" 108 3 4 0 0 12
"24" 3 2 "of" 36414 5 2 0.9 0 12
"25" 3 3 "the" 69974 5 3 0.9 1 12
"26" 3 4 "students" 213 3 8 0.15 0 12
"27" 3 5 "wanted" 226 3 6 0.05 0 12
"28" 3 6 "to" 26155 5 2 0.95 0 12
"29" 3 7 "have" 3942 4 4 0.1 0 12
"30" 3 8 "an" 3727 4 2 0.45 0 12
"31" 3 9 "exam" 1 1 4 0.45 0 12
"32" 3 10 "after" 1068 4 5 0 0 12
"33" 3 11 "spring" 126 3 6 0 0 12
"34" 3 12 "break" 88 2 5 0.95 0 12
"35" 4 1 "mark" 83 2 4 0 0 11
"36" 4 2 "told" 413 3 4 0 0 11
"37" 4 3 "janet" 1 1 5 0 0 11
"38" 4 4 "that" 10593 5 4 0.8 0 11
"39" 4 5 "he" 9547 4 2 0.6 0 11
"40" 4 6 "would" 2715 4 5 0.1 0 11
"41" 4 7 "meet" 149 3 4 0 0 11
