"item" "roi" "word" "frequency" "freq.class" "len" "predictability" "target"
1 1 "margie" 1 1 6 0 "0"
1 2 "moved" 181 3 5 0 "0"
1 3 "into" 1789 4 4 0.2 "0"
1 4 "her" 3036 4 3 0.25 "0"
1 5 "new" 1635 4 3 0.65 "1"
1 6 "apartment" 81 2 9 0.75 "0"
1 7 "at" 5372 4 2 0 "0"
1 8 "the" 69974 5 3 0.6 "0"
1 9 "end" 409 3 3 0.1 "0"
1 10 "of" 36414 5 2 0.95 "0"
1 11 "the" 69974 5 3 1 "0"
1 12 "summer" 134 3 6 0.1 "0"
2 1 "the" 69974 5 3 0 "0"
2 2 "principal" 92 2 9 0 "0"
2 3 "introduced" 52 2 10 0 "0"
2 4 "the" 69974 5 3 0.8 "0"
2 5 "new" 1635 4 3 0.35 "1"
2 6 "president" 382 3 9 0 "0"
2 7 "of" 36414 5 2 0.55 "0"
2 8 "the" 69974 5 3 1 "0"
2 9 "junior" 75 2 6 0 "0"
2 10 "class" 207 3 5 0.7 "0"
3 1 "none" 108 3 4 0 "0"
3 2 "of" 36414 5 2 0.9 "0"
3 3 "the" 69974 5 3 0.9 "1"
3 4 "students" 213 3 8 0.15 "0"
3 5 "wanted" 226 3 6 0.05 "0"
3 6 "to" 26155 5 2 0.95 "0"
3 7 "have" 3942 4 4 0.1 "0"
3 8 "an" 3727 4 2 0.45 "0"
3 9 "exam" 1 1 4 0.45 "0"
3 10 "after" 1068 4 5 0 "0"
3 11 "spring" 126 3 6 0 "0"
3 12 "break" 88 2 5 0.95 "0"
4 1 "mark" 83 2 4 0 "0"
4 2 "told" 413 3 4 0 "0"
4 3 "janet" 1 1 5 0 "0"
4 4 "that" 10593 5 4 0.8 "0"
4 5 "he" 9547 4 2 0.6 "0"
4 6 "would" 2715 4 5 0.1 "0"
4 7 "meet" 149 3 4 0 "0"
4 8 "her" 3036 4 3 0.95 "0"
4 9 "after" 1068 4 5 0.2 "1"
4 10 "baseball" 57 2 8 0 "0"
4 11 "practice" 94 2 8 0.9 "0"
5 1 "bill" 143 3 4 0 "0"
5 2 "complained" 22 2 10 0 "0"
5 3 "that" 10593 5 4 0.3 "0"
5 4 "the" 69974 5 3 0.2 "1"
5 5 "magazine" 39 2 8 0 "0"
5 6 "included" 97 2 8 0 "0"
5 7 "more" 2214 4 4 0 "0"
5 8 "ads" 10 1 3 0.4 "0"
5 9 "than" 1790 4 4 0.9 "0"
5 10 "articles" 31 2 8 0.75 "0"
6 1 "the" 69974 5 3 0 "0"
6 2 "angry" 45 2 5 0 "0"
6 3 "man" 1207 4 3 0.4 "0"
6 4 "called" 401 3 6 0 "0"
6 5 "the" 69974 5 3 0.5 "1"
6 6 "senator" 40 2 7 0 "0"
6 7 "to" 26155 5 2 0.15 "0"
6 8 "complain" 11 2 8 0.35 "0"
6 9 "about" 1814 4 5 0.95 "0"
6 10 "the" 69974 5 3 0.45 "0"
6 11 "new" 1635 4 3 0.05 "0"
6 12 "tax" 201 3 3 0.35 "0"
6 13 "law" 299 3 3 0.5 "0"
7 1 "the" 69974 5 3 0 "0"
7 2 "policeman" 19 2 9 0 "0"
7 3 "demanded" 102 3 8 0 "0"
7 4 "to" 26155 5 2 0.2 "0"
7 5 "see" 772 3 3 0.7 "0"
7 6 "jims" 4 1 4 0 "1"
7 7 "license" 36 2 7 0.65 "0"
7 8 "and" 28850 5 3 0.65 "0"
7 9 "registration" 23 2 12 1 "0"
8 1 "a" 23127 5 1 0 "0"
8 2 "strict" 11 2 6 0 "0"
8 3 "vegetarian" 1 1 10 0 "0"
8 4 "jennifer" 1 1 8 0 "0"
8 5 "does" 485 3 4 0.1 "0"
8 6 "not" 4868 4 3 0.95 "0"
8 7 "eat" 61 2 3 0.95 "1"
8 8 "chicken" 37 2 7 0 "0"
8 9 "or" 4204 4 2 0.95 "0"
8 10 "beef" 31 2 4 0.25 "0"
9 1 "nancys" 1 1 6 0 "1"
9 2 "kitchen" 90 2 7 0 "0"
9 3 "was" 9816 4 3 0.4 "0"
9 4 "infested" 1 1 8 0 "0"
9 5 "with" 7289 4 4 1 "0"
9 6 "carpenter" 6 1 9 0 "0"
9 7 "ants" 1 1 4 0.9 "0"
9 8 "and" 28850 5 3 0.8 "0"
9 9 "roaches" 1 1 7 0.25 "0"
10 1 "the" 69974 5 3 0 "0"
10 2 "hurricane" 8 1 9 0 "0"
10 3 "destroyed" 39 2 9 0.15 "0"
10 4 "houses" 83 2 6 0 "0"
10 5 "in" 21335 5 2 0.05 "0"
10 6 "the" 69974 5 3 0.6 "1"
10 7 "village" 72 2 7 0 "0"
10 8 "and" 28850 5 3 0.6 "0"
10 9 "left" 141 3 4 0.05 "0"
10 10 "many" 1029 4 4 0.15 "0"
10 11 "homeless" 1 1 8 0.25 "0"
11 1 "amy" 15 2 3 0 "0"
11 2 "told" 413 3 4 0 "0"
11 3 "the" 69974 5 3 0.1 "1"
