sn	wn	word	frequency	rv100	sp100	spm	spu	len	distance	freq.class	spu.class	rv100.class
1	1	Den	NA	NA	NA	NA	1.85543	3	NA	NA	2	NA
1	2	Ton	44	197	0	6.61735	1.12957	3	NA	2	2	1
1	3	gab	338	396	0	6.58696	2.36073	3	NA	3	3	2
1	4	der	33429	429	0.04254	10.59239	2.54247	3	NA	5	3	3
1	5	Künstler	90	423	0.30674	6.54856	0.70669	8	NA	2	1	3
1	6	seinem	574	725	0.41755	6.58696	7.26465	6	NA	3	5	3
1	7	Gehilfen	NA	NA	NA	NA	0.34554	9	NA	NA	1	NA
2	1	Der	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
2	2	Hof	42	197	0	6.61735	1.0557	3	NA	2	2	1
2	3	lag	105	396	0	6.58696	2.41837	3	NA	3	3	2
2	4	weit	228	429	0.03918	10.59239	2.72162	4	NA	3	3	3
2	5	außerhalb	62	396	0.30874	4.65431	1.56521	9	NA	2	2	2
2	6	des	7866	396	0.64739	9.01627	1.34848	3	NA	4	2	2
2	7	eigentlichen	28	219	1.07372	5.85431	2.32099	12	NA	2	3	1
2	8	Dorfes	NA	NA	NA	NA	0.21109	7	NA	NA	1	NA
3	1	Die	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
3	2	Wanderer	7	197	0	6.61735	1.17345	8	NA	1	2	1
3	3	sahen	33	396	0	6.58696	2.42056	5	NA	2	3	2
3	4	Rehe	2	636	0.042	10.59239	4.55292	4	NA	1	4	3
3	5	auf	7037	372	0.20442	4.72178	1.85535	3	NA	4	2	2
3	6	einer	3165	394	0.42254	6.45806	1.46379	5	NA	4	2	2
3	7	Lichtung	2	471	0.62865	6.63445	0.70972	8	NA	1	1	3
3	8	im	6748	451	0.84244	6.58696	2.20844	2	NA	4	3	3
3	9	Wald	42	474	1.24407	6.52096	1.85588	4	NA	2	2	3
3	10	äsen	NA	NA	NA	NA	5.0694	5	NA	NA	5	NA
4	1	Den	NA	NA	NA	NA	1.85543	3	NA	NA	2	NA
4	2	Kopf	136	197	0	6.61735	1.12957	4	NA	3	2	1
