experiment simulation item wn word attachtime
"MV13-1" 1 HIGH 1 "EL" 23
"MV13-1" 1 HIGH 2 "PROFESOR" 70
"MV13-1" 1 HIGH 3 "DIJO" 32
"MV13-1" 1 HIGH 4 "QUE" 70
"MV13-1" 1 HIGH 5 "LOS" 22
"MV13-1" 1 HIGH 6 "ALUMNOS" 26
"MV13-1" 1 HIGH 7 "SELEVANTARAN" 70
"MV13-1" 1 HIGH 8 "DEL" 70
"MV13-1" 1 HIGH 9 "ASIENTO" 31
"MV13-1" 1 HIGH 10 "CUANDO" 70
"MV13-1" 1 HIGH 11 "LOS" 70
"MV13-1" 1 HIGH 12 "DIRECTORES" 28
"MV13-1" 1 HIGH 13 "ENTRARON" 34
"MV13-1" 1 HIGH 14 "EN" 70
"MV13-1" 1 HIGH 15 "LA" 70
"MV13-1" 1 HIGH 16 "CLASE" 70
"MV13-1" 1 HIGH 17 "de" 29
"MV13-1" 1 HIGH 18 "MUSICA" 70
"MV13-1" 1 LOW 1 "EL" 70
"MV13-1" 1 LOW 2 "PROFESOR" 70
"MV13-1" 1 LOW 3 "DIJO" 38
"MV13-1" 1 LOW 4 "QUE" 28
"MV13-1" 1 LOW 5 "LOS" 22
"MV13-1" 1 LOW 6 "ALUMNOS" 28
"MV13-1" 1 LOW 7 "SELEVANTARAN" 83
"MV13-1" 1 LOW 8 "DEL" 30
"MV13-1" 1 LOW 9 "ASIENTO" 26
"MV13-1" 1 LOW 10 "CUANDO" 20
"MV13-1" 1 LOW 11 "LOS" 70
"MV13-1" 1 LOW 12 "DIRECTORES" 27
"MV13-1" 1 LOW 13 "ENTRARAN" 31
"MV13-1" 1 LOW 14 "EN" 27
"MV13-1" 1 LOW 15 "LA" 28
"MV13-1" 1 LOW 16 "CLASE" 29
"MV13-1" 1 LOW 17 "de" 34
"MV13-1" 1 LOW 18 "MUSICA" 27
"MV13-1" 1 UNAMB 1 "EL" 23
"MV13-1" 1 UNAMB 2 "PROFESOR" 28
"MV13-1" 1 UNAMB 3 "DIJO" 47
"MV13-1" 1 UNAMB 4 "QUE" 70
"MV13-1" 1 UNAMB 5 "LOS" 70
"MV13-1" 1 UNAMB 6 "ALUMNOS" 32
"MV13-1" 1 UNAMB 7 "SELEVANTARAN" 28
"MV13-1" 1 UNAMB 8 "DEL" 31
"MV13-1" 1 UNAMB 9 "ASIENTO" 28
"MV13-1" 1 UNAMB 10 "SI" 46
"MV13-1" 1 UNAMB 11 "LOS" 23
"MV13-1" 1 UNAMB 12 "DIRECTORES" 30
"MV13-1" 1 UNAMB 13 "ENTRABAN" 44
"MV13-1" 1 UNAMB 14 "EN" 30
"MV13-1" 1 UNAMB 15 "LA" 27
"MV13-1" 1 UNAMB 16 "CLASE" 70
"MV13-1" 1 UNAMB 17 "de" 36
"MV13-1" 1 UNAMB 18 "MUSICA" 32
"MV13-1" 2 HIGH 1 "EL" 22
"MV13-1" 2 HIGH 2 "PROFESOR" 70
"MV13-1" 2 HIGH 3 "DIJO" 70
"MV13-1" 2 HIGH 4 "QUE" 70
"MV13-1" 2 HIGH 5 "LOS" 70
"MV13-1" 2 HIGH 6 "ALUMNOS" 27
"MV13-1" 2 HIGH 7 "SELEVANTARAN" 33
"MV13-1" 2 HIGH 8 "DEL" 26
"MV13-1" 2 HIGH 9 "ASIENTO" 28
"MV13-1" 2 HIGH 10 "CUANDO" 20
"MV13-1" 2 HIGH 11 "LOS" 70
"MV13-1" 2 HIGH 12 "DIRECTORES" 29
"MV13-1" 2 HIGH 13 "ENTRARON" 31
"MV13-1" 2 HIGH 14 "EN" 30
"MV13-1" 2 HIGH 15 "LA" 29
"MV13-1" 2 HIGH 16 "CLASE" 32
"MV13-1" 2 HIGH 17 "de" 28
"MV13-1" 2 HIGH 18 "MUSICA" 70
"MV13-1" 2 LOW 1 "EL" 70
"MV13-1" 2 LOW 2 "PROFESOR" 31
"MV13-1" 2 LOW 3 "DIJO" 70
"MV13-1" 2 LOW 4 "QUE" 70
"MV13-1" 2 LOW 5 "LOS" 23
"MV13-1" 2 LOW 6 "ALUMNOS" 29
"MV13-1" 2 LOW 7 "SELEVANTARAN" 31
"MV13-1" 2 LOW 8 "DEL" 27
"MV13-1" 2 LOW 9 "ASIENTO" 27
"MV13-1" 2 LOW 10 "CUANDO" 20
"MV13-1" 2 LOW 11 "LOS" 70
"MV13-1" 2 LOW 12 "DIRECTORES" 70
"MV13-1" 2 LOW 13 "ENTRARAN" 32
"MV13-1" 2 LOW 14 "EN" 27
"MV13-1" 2 LOW 15 "LA" 27
"MV13-1" 2 LOW 16 "CLASE" 32
"MV13-1" 2 LOW 17 "de" 70
"MV13-1" 2 LOW 18 "MUSICA" 70
"MV13-1" 2 UNAMB 1 "EL" 22
"MV13-1" 2 UNAMB 2 "PROFESOR" 28
"MV13-1" 2 UNAMB 3 "DIJO" 38
"MV13-1" 2 UNAMB 4 "QUE" 70
"MV13-1" 2 UNAMB 5 "LOS" 22
"MV13-1" 2 UNAMB 6 "ALUMNOS" 27
"MV13-1" 2 UNAMB 7 "SELEVANTARAN" 70
"MV13-1" 2 UNAMB 8 "DEL" 29
"MV13-1" 2 UNAMB 9 "ASIENTO" 25
"MV13-1" 2 UNAMB 10 "SI" 50
"MV13-1" 2 UNAMB 11 "LOS" 70
"MV13-1" 2 UNAMB 12 "DIRECTORES" 70
"MV13-1" 2 UNAMB 13 "ENTRABAN" 30
"MV13-1" 2 UNAMB 14 "EN" 70
"MV13-1" 2 UNAMB 15 "LA" 31
"MV13-1" 2 UNAMB 16 "CLASE" 70
"MV13-1" 2 UNAMB 17 "de" 70
"MV13-1" 2 UNAMB 18 "MUSICA" 36
"MV13-1" 3 HIGH 1 "EL" 23
"MV13-1" 3 HIGH 2 "PROFESOR" 28
"MV13-1" 3 HIGH 3 "DIJO" 37
"MV13-1" 3 HIGH 4 "QUE" 70
"MV13-1" 3 HIGH 5 "LOS" 22
"MV13-1" 3 HIGH 6 "ALUMNOS" 70
"MV13-1" 3 HIGH 7 "SELEVANTARAN" 29
"MV13-1" 3 HIGH 8 "DEL" 32
"MV13-1" 3 HIGH 9 "ASIENTO" 26
"MV13-1" 3 HIGH 10 "CUANDO" 70
"MV13-1" 3 HIGH 11 "LOS" 26
"MV13-1" 3 HIGH 12 "DIRECTORES" 29
"MV13-1" 3 HIGH 13 "ENTRARON" 34
"MV13-1" 3 HIGH 14 "EN" 31
"MV13-1" 3 HIGH 15 "LA" 70
"MV13-1" 3 HIGH 16 "CLASE" 70
"MV13-1" 3 HIGH 17 "de" 28
"MV13-1" 3 HIGH 18 "MUSICA" 70
"MV13-1" 3 LOW 1 "EL" 70
"MV13-1" 3 LOW 2 "PROFESOR" 70
"MV13-1" 3 LOW 3 "DIJO" 70
"MV13-1" 3 LOW 4 "QUE" 70
"MV13-1" 3 LOW 5 "LOS" 27
"MV13-1" 3 LOW 6 "ALUMNOS" 36
"MV13-1" 3 LOW 7 "SELEVANTARAN" 31
"MV13-1" 3 LOW 8 "DEL" 29
"MV13-1" 3 LOW 9 "ASIENTO" 27
"MV13-1" 3 LOW 10 "CUANDO" 20
"MV13-1" 3 LOW 11 "LOS" 27
"MV13-1" 3 LOW 12 "DIRECTORES" 70
"MV13-1" 3 LOW 13 "ENTRARAN" 42
"MV13-1" 3 LOW 14 "EN" 31
"MV13-1" 3 LOW 15 "LA" 70
"MV13-1" 3 LOW 16 "CLASE" 70
"MV13-1" 3 LOW 17 "de" 30
"MV13-1" 3 LOW 18 "MUSICA" 70
"MV13-1" 3 UNAMB 1 "EL" 70
"MV13-1" 3 UNAMB 2 "PROFESOR" 70
"MV13-1" 3 UNAMB 3 "DIJO" 31
"MV13-1" 3 UNAMB 4 "QUE" 70
"MV13-1" 3 UNAMB 5 "LOS" 23
"MV13-1" 3 UNAMB 6 "ALUMNOS" 70
"MV13-1" 3 UNAMB 7 "SELEVANTARAN" 70
"MV13-1" 3 UNAMB 8 "DEL" 28
"MV13-1" 3 UNAMB 9 "ASIENTO" 70
"MV13-1" 3 UNAMB 10 "SI" 80
"MV13-1" 3 UNAMB 11 "LOS" 70
"MV13-1" 3 UNAMB 12 "DIRECTORES" 28
"MV13-1" 3 UNAMB 13 "ENTRABAN" 27
"MV13-1" 3 UNAMB 14 "EN" 70
"MV13-1" 3 UNAMB 15 "LA" 70
"MV13-1" 3 UNAMB 16 "CLASE" 31
"MV13-1" 3 UNAMB 17 "de" 27
"MV13-1" 3 UNAMB 18 "MUSICA" 28
"MV13-1" 4 HIGH 1 "EL" 70
"MV13-1" 4 HIGH 2 "PROFESOR" 70
"MV13-1" 4 HIGH 3 "DIJO" 34
"MV13-1" 4 HIGH 4 "QUE" 26
"MV13-1" 4 HIGH 5 "LOS" 70
"MV13-1" 4 HIGH 6 "ALUMNOS" 27
"MV13-1" 4 HIGH 7 "SELEVANTARAN" 35
"MV13-1" 4 HIGH 8 "DEL" 27
"MV13-1" 4 HIGH 9 "ASIENTO" 30
"MV13-1" 4 HIGH 10 "CUANDO" 20
"MV13-1" 4 HIGH 10 "CUANDO" 126
"MV13-1" 4 HIGH 11 "LOS" 70
"MV13-1" 4 HIGH 12 "DIRECTORES" 70
"MV13-1" 4 HIGH 13 "ENTRARON" 157
"MV13-1" 4 HIGH 14 "EN" 70
"MV13-1" 4 HIGH 15 "LA" 27
"MV13-1" 4 HIGH 16 "CLASE" 34
"MV13-1" 4 HIGH 17 "de" 36
"MV13-1" 4 HIGH 18 "MUSICA" 28
"MV13-1" 4 LOW 1 "EL" 70
"MV13-1" 4 LOW 2 "PROFESOR" 27
