experiment simulation item wn word enctime ecc freq1
"MV13-1" 1 HIGH 1 "el" 25 1.310 .00370
"MV13-1" 1 HIGH 2 "profesor" 31 2.046 .00370
"MV13-1" 1 HIGH 3 "dijo" 41 2.821 .00370
"MV13-1" 1 HIGH 4 "que" 17 1.563 .00370
"MV13-1" 1 HIGH 5 "los" 17 1.801 .00370
"MV13-1" 1 HIGH 6 "alumnos" 19 2.095 .00370
"MV13-1" 1 HIGH 7 "selevantaran" 52 3.216 .00370
"MV13-1" 1 HIGH 8 "del" 67 4.273 .00370
"MV13-1" 1 HIGH 9 "asiento" 18 1.955 .00370
"MV13-1" 1 HIGH 10 "cuando" 29 2.515 .00370
"MV13-1" 1 HIGH 11 "los" 15 1.388 .00370
"MV13-1" 1 HIGH 12 "directores" 49 3.915 .00370
"MV13-1" 1 HIGH 13 "entraron" 83 5.683 .00370
"MV13-1" 1 HIGH 14 "en" 27 1.638 .00370
"MV13-1" 1 HIGH 15 "la" 14 1.023 .00370
"MV13-1" 1 HIGH 16 "clase" 18 1.942 .00370
"MV13-1" 1 HIGH 17 "de" 26 1.588 .00370
"MV13-1" 1 HIGH 18 "musica" 28 2.083 .00370
"MV13-1" 1 HIGH 19 "*" 21 1.776 .00370
"MV13-1" 1 LOW 1 "el" 21 1.555 .00370
"MV13-1" 1 LOW 2 "profesor" 21 2.419 .00370
"MV13-1" 1 LOW 3 "dijo" 33 2.627 .00370
"MV13-1" 1 LOW 4 "que" 32 2.800 .00370
"MV13-1" 1 LOW 5 "los" 30 2.549 .00370
"MV13-1" 1 LOW 6 "alumnos" 37 2.394 .00370
"MV13-1" 1 LOW 7 "selevantaran" 68 4.298 .00370
"MV13-1" 1 LOW 8 "del" 39 3.097 .00370
"MV13-1" 1 LOW 9 "asiento" 22 2.074 .00370
"MV13-1" 1 LOW 10 "cuando" 34 2.730 .00370
"MV13-1" 1 LOW 11 "los" 23 1.703 .00370
"MV13-1" 1 LOW 12 "directores" 51 3.112 .00370
"MV13-1" 1 LOW 13 "entraran" 62 3.625 .00370
"MV13-1" 1 LOW 14 "en" 19 2.160 .00370
"MV13-1" 1 LOW 15 "la" 45 3.443 .00370
"MV13-1" 1 LOW 16 "clase" 16 1.756 .00370
"MV13-1" 1 LOW 17 "de" 24 1.505 .00370
"MV13-1" 1 LOW 18 "musica" 26 1.969 .00370
"MV13-1" 1 LOW 19 "*" 33 2.149 .00370
"MV13-1" 1 UNAMB 1 "el" 22 1.350 .00370
"MV13-1" 1 UNAMB 2 "profesor" 40 2.516 .00370
"MV13-1" 1 UNAMB 3 "dijo" 31 2.389 .00370
"MV13-1" 1 UNAMB 4 "que" 28 1.564 .00370
"MV13-1" 1 UNAMB 5 "los" 30 1.808 .00370
"MV13-1" 1 UNAMB 6 "alumnos" 25 2.193 .00370
"MV13-1" 1 UNAMB 7 "selevantaran" 70 4.135 .00370
"MV13-1" 1 UNAMB 8 "del" 28 3.203 .00370
"MV13-1" 1 UNAMB 9 "asiento" 31 2.064 .00370
"MV13-1" 1 UNAMB 10 "si" 22 1.984 .00370
"MV13-1" 1 UNAMB 11 "los" 17 1.807 .00370
"MV13-1" 1 UNAMB 12 "directores" 25 2.908 .00370
