experiment simulation item wn word timeout.eyeloc
"MV13-1" 2 UNAMB 10 "si" 10
"MV13-1" 5 UNAMB 10 "si" 9
"MV13-1" 6 UNAMB 10 "si" 10
"MV13-1" 15 UNAMB 10 "si" 10
"MV13-2" 4 UNAMB 10 "si" 10
"MV13-2" 5 HIGH 16 "clase" 15
"MV13-2" 5 UNAMB 10 "si" 9
"MV13-2" 6 UNAMB 3 "dijo" 3
"MV13-2" 7 UNAMB 10 "si" 10
"MV13-2" 8 UNAMB 10 "si" 9
"MV13-3" 3 UNAMB 10 "si" 10
"MV13-3" 4 UNAMB 10 "si" 10
"MV13-3" 8 HIGH 10 "cuando" 10
"MV13-3" 10 UNAMB 10 "si" 10
"MV13-3" 11 UNAMB 10 "si" 9
"MV13-3" 12 UNAMB 10 "si" 10
"MV13-3" 13 UNAMB 10 "si" 10
"MV13-3" 15 UNAMB 10 "si" 10
"MV13-4" 2 UNAMB 10 "si" 10
"MV13-4" 3 UNAMB 10 "si" 9
"MV13-4" 7 UNAMB 10 "si" 9
"MV13-4" 8 UNAMB 10 "si" 10
"MV13-4" 13 UNAMB 10 "si" 9
"MV13-4" 14 UNAMB 10 "si" 10
"MV13-5" 2 UNAMB 10 "si" 10
"MV13-5" 3 UNAMB 10 "si" 10
"MV13-5" 5 HIGH 3 "dijo" 2
"MV13-5" 5 UNAMB 10 "si" 10
"MV13-5" 6 UNAMB 10 "si" 9
"MV13-5" 10 UNAMB 10 "si" 10
"MV13-5" 11 UNAMB 10 "si" 10
"MV13-5" 13 LOW 3 "dijo" 3
"MV13-5" 14 LOW 14 "en" 13
"MV13-5" 15 UNAMB 3 "dijo" 3
"MV13-6" 1 HIGH 15 "la" 15
"MV13-6" 1 UNAMB 10 "si" 10
"MV13-6" 3 UNAMB 10 "si" 10
"MV13-6" 5 LOW 3 "dijo" 3
"MV13-6" 8 HIGH 9 "asiento" 9
"MV13-7" 3 UNAMB 10 "si" 10
"MV13-7" 6 HIGH 15 "la" 14
"MV13-7" 6 UNAMB 10 "si" 10
"MV13-7" 7 UNAMB 10 "si" 10
"MV13-7" 8 UNAMB 10 "si" 10
"MV13-7" 11 UNAMB 10 "si" 10
"MV13-7" 12 UNAMB 7 "selevantaran" 7
"MV13-7" 12 UNAMB 10 "si" 10
"MV13-7" 15 HIGH 3 "dijo" 3
"MV13-8" 1 LOW 3 "dijo" 3
"MV13-8" 4 UNAMB 13 "entraban" 13
"MV13-8" 13 UNAMB 10 "si" 10
"MV13-8" 14 UNAMB 10 "si" 10
"MV13-9" 5 UNAMB 10 "si" 10
"MV13-9" 6 UNAMB 14 "en" 13
"MV13-9" 10 HIGH 14 "en" 13
"MV13-9" 11 UNAMB 10 "si" 10
"MV13-9" 11 UNAMB 14 "en" 14
"MV13-9" 13 HIGH 3 "dijo" 3
"MV13-10" 5 UNAMB 10 "si" 9
"MV13-10" 12 LOW 3 "dijo" 3
"MV13-10" 12 UNAMB 10 "si" 10
"MV13-11" 1 UNAMB 14 "en" 13
"MV13-11" 2 UNAMB 10 "si" 10
"MV13-11" 3 HIGH 13 "entraron" 13
"MV13-11" 5 UNAMB 10 "si" 9
"MV13-11" 7 UNAMB 10 "si" 10
"MV13-11" 8 UNAMB 10 "si" 10
"MV13-11" 10 UNAMB 10 "si" 9
"MV13-11" 13 UNAMB 9 "asiento" 9
"MV13-11" 14 UNAMB 10 "si" 10
"MV13-11" 15 UNAMB 10 "si" 9
"MV13-12" 1 LOW 13 "entraran" 13
"MV13-12" 6 UNAMB 10 "si" 9
"MV13-12" 11 UNAMB 10 "si" 10
"MV13-13" 3 UNAMB 10 "si" 10
"MV13-13" 4 UNAMB 10 "si" 10
"MV13-13" 4 UNAMB 14 "en" 14
"MV13-13" 5 UNAMB 10 "si" 10
"MV13-13" 10 UNAMB 10 "si" 10
"MV13-13" 13 UNAMB 10 "si" 9
"MV13-13" 15 UNAMB 10 "si" 10
"MV13-14" 2 UNAMB 10 "si" 9
"MV13-14" 3 UNAMB 10 "si" 10
"MV13-14" 4 UNAMB 10 "si" 10
"MV13-14" 6 UNAMB 10 "si" 10
