experiment simulation item wn word attachtime
STAUB10 1 SRC 1 "THE" 70
STAUB10 1 SRC 2 "EMPLOYEES" 39
STAUB10 1 SRC 3 "WHO" 10
STAUB10 1 SRC 4 "NOTICED" 36
STAUB10 1 SRC 5 "THE" 34
STAUB10 1 SRC 6 "FIREMAN" 70
STAUB10 1 SRC 7 "HURRIED" 85
STAUB10 1 SRC 8 "TO" 46
STAUB10 1 SRC 9 "THE" 51
STAUB10 1 ORC 1 "THE" 40
STAUB10 1 ORC 2 "EMPLOYEES" 47
STAUB10 1 ORC 3 "WHO" 10
STAUB10 1 ORC 4 "THE" 247
STAUB10 1 ORC 5 "FIREMAN" 44
STAUB10 1 ORC 6 "NOTICED" 173
STAUB10 1 ORC 6 "HURRIED" 102
STAUB10 1 ORC 6 "TO" 80
STAUB10 1 ORC 6 "THE" 80
STAUB10 2 SRC 1 "THE" 48
STAUB10 2 SRC 2 "EMPLOYEES" 70
STAUB10 2 SRC 3 "WHO" 10
STAUB10 2 SRC 4 "NOTICED" 70
STAUB10 2 SRC 5 "THE" 42
STAUB10 2 SRC 6 "FIREMAN" 37
STAUB10 2 SRC 7 "HURRIED" 55
STAUB10 2 SRC 8 "TO" 49
STAUB10 2 SRC 9 "THE" 70
STAUB10 2 SRC 10 "CLINIC" 36
STAUB10 2 ORC 1 "THE" 70
STAUB10 2 ORC 2 "EMPLOYEES" 37
STAUB10 2 ORC 3 "WHO" 10
STAUB10 2 ORC 3 "THE" 239
STAUB10 2 ORC 3 "FIREMAN" 80
STAUB10 3 SRC 1 "THE" 70
STAUB10 3 SRC 2 "EMPLOYEES" 40
STAUB10 3 SRC 3 "WHO" 10
STAUB10 3 SRC 4 "NOTICED" 70
STAUB10 3 SRC 5 "THE" 41
STAUB10 3 SRC 6 "FIREMAN" 39
STAUB10 3 SRC 7 "HURRIED" 82
STAUB10 3 SRC 8 "TO" 48
STAUB10 3 SRC 9 "THE" 44
STAUB10 3 SRC 10 "CLINIC" 45
STAUB10 3 ORC 1 "THE" 41
STAUB10 3 ORC 2 "EMPLOYEES" 36
STAUB10 3 ORC 3 "WHO" 10
STAUB10 3 ORC 3 "THE" 209
STAUB10 3 ORC 3 "FIREMAN" 80
STAUB10 4 SRC 1 "THE" 70
STAUB10 4 SRC 2 "EMPLOYEES" 39
STAUB10 4 SRC 3 "WHO" 10
STAUB10 4 SRC 3 "NOTICED" 80
STAUB10 4 SRC 3 "THE" 80
STAUB10 4 SRC 3 "FIREMAN" 80
STAUB10 4 SRC 3 "HURRIED" 107
STAUB10 4 SRC 3 "TO" 80
STAUB10 4 SRC 3 "THE" 80
STAUB10 4 ORC 1 "THE" 30
STAUB10 4 ORC 2 "EMPLOYEES" 70
STAUB10 4 ORC 3 "WHO" 10
STAUB10 4 ORC 4 "THE" 224
STAUB10 4 ORC 5 "FIREMAN" 46
STAUB10 4 ORC 6 "NOTICED" 145
STAUB10 4 ORC 7 "HURRIED" 109
STAUB10 4 ORC 8 "TO" 40
STAUB10 4 ORC 9 "THE" 70
STAUB10 4 ORC 10 "CLINIC" 50
STAUB10 5 SRC 1 "THE" 70
STAUB10 5 SRC 2 "EMPLOYEES" 31
STAUB10 5 SRC 3 "WHO" 10
STAUB10 5 SRC 4 "NOTICED" 41
STAUB10 5 SRC 5 "THE" 45
STAUB10 5 SRC 6 "FIREMAN" 49
STAUB10 5 SRC 7 "HURRIED" 96
STAUB10 5 SRC 7 "TO" 80
STAUB10 5 SRC 7 "THE" 80
STAUB10 5 ORC 1 "THE" 70
STAUB10 5 ORC 2 "EMPLOYEES" 70
STAUB10 5 ORC 3 "WHO" 10
STAUB10 5 ORC 4 "THE" 215
STAUB10 5 ORC 5 "FIREMAN" 46
STAUB10 5 ORC 6 "NOTICED" 148
STAUB10 5 ORC 7 "HURRIED" 77
STAUB10 5 ORC 8 "TO" 70
STAUB10 5 ORC 9 "THE" 39
STAUB10 5 ORC 10 "CLINIC" 42
STAUB10 6 SRC 1 "THE" 43
STAUB10 6 SRC 2 "EMPLOYEES" 70
STAUB10 6 SRC 3 "WHO" 10
STAUB10 6 SRC 4 "NOTICED" 48
STAUB10 6 SRC 5 "THE" 41
STAUB10 6 SRC 6 "FIREMAN" 34
STAUB10 6 SRC 7 "HURRIED" 71
STAUB10 6 SRC 7 "TO" 80
STAUB10 6 SRC 7 "THE" 80
STAUB10 6 ORC 1 "THE" 48
STAUB10 6 ORC 2 "EMPLOYEES" 31
STAUB10 6 ORC 3 "WHO" 10
STAUB10 6 ORC 3 "THE" 241
STAUB10 6 ORC 3 "FIREMAN" 80
STAUB10 7 SRC 1 "THE" 70
STAUB10 7 SRC 2 "EMPLOYEES" 33
STAUB10 7 SRC 3 "WHO" 10
STAUB10 7 SRC 4 "NOTICED" 40
STAUB10 7 SRC 5 "THE" 41
STAUB10 7 SRC 6 "FIREMAN" 41
STAUB10 7 SRC 7 "HURRIED" 71
STAUB10 7 SRC 8 "TO" 70
STAUB10 7 SRC 9 "THE" 70
STAUB10 7 SRC 10 "CLINIC" 46
STAUB10 7 ORC 1 "THE" 38
STAUB10 7 ORC 2 "EMPLOYEES" 70
STAUB10 7 ORC 3 "WHO" 10
STAUB10 7 ORC 3 "THE" 252
STAUB10 7 ORC 3 "FIREMAN" 36
STAUB10 8 SRC 1 "THE" 70
STAUB10 8 SRC 2 "EMPLOYEES" 37
STAUB10 8 SRC 3 "WHO" 10
STAUB10 8 SRC 3 "NOTICED" 80
STAUB10 8 SRC 3 "THE" 80
STAUB10 8 SRC 3 "FIREMAN" 80
STAUB10 8 SRC 3 "HURRIED" 107
STAUB10 8 SRC 3 "TO" 80
STAUB10 8 ORC 1 "THE" 70
STAUB10 8 ORC 2 "EMPLOYEES" 70
STAUB10 8 ORC 3 "WHO" 10
STAUB10 8 ORC 3 "THE" 256
STAUB10 8 ORC 3 "FIREMAN" 33
STAUB10 9 SRC 1 "THE" 70
STAUB10 9 SRC 2 "EMPLOYEES" 70
STAUB10 9 SRC 3 "WHO" 10
STAUB10 9 SRC 4 "NOTICED" 70
STAUB10 9 SRC 5 "THE" 39
STAUB10 9 SRC 6 "FIREMAN" 70
STAUB10 9 SRC 7 "HURRIED" 86
STAUB10 9 SRC 8 "TO" 70
STAUB10 9 SRC 9 "THE" 51
STAUB10 9 SRC 10 "CLINIC" 32
STAUB10 9 ORC 1 "THE" 70
STAUB10 9 ORC 2 "EMPLOYEES" 51
STAUB10 9 ORC 3 "WHO" 10
STAUB10 9 ORC 4 "THE" 64
STAUB10 9 ORC 5 "FIREMAN" 45
STAUB10 9 ORC 6 "NOTICED" 112
STAUB10 9 ORC 7 "HURRIED" 122
STAUB10 9 ORC 8 "TO" 70
STAUB10 9 ORC 9 "THE" 39
STAUB10 9 ORC 10 "CLINIC" 37
STAUB10 10 SRC 1 "THE" 70
STAUB10 10 SRC 2 "EMPLOYEES" 40
STAUB10 10 SRC 3 "WHO" 10
STAUB10 10 SRC 4 "NOTICED" 70
STAUB10 10 SRC 5 "THE" 70
STAUB10 10 SRC 6 "FIREMAN" 50
STAUB10 10 SRC 7 "HURRIED" 102
STAUB10 10 SRC 8 "TO" 54
STAUB10 10 SRC 9 "THE" 47
STAUB10 10 SRC 10 "CLINIC" 70
STAUB10 10 ORC 1 "THE" 70
STAUB10 10 ORC 2 "EMPLOYEES" 70
STAUB10 10 ORC 3 "WHO" 10
STAUB10 10 ORC 4 "THE" 208
STAUB10 10 ORC 5 "FIREMAN" 41
STAUB10 10 ORC 6 "NOTICED" 119
STAUB10 10 ORC 7 "HURRIED" 123
STAUB10 10 ORC 8 "TO" 47
STAUB10 10 ORC 9 "THE" 33
STAUB10 10 ORC 10 "CLINIC" 70
STAUB10 11 SRC 1 "THE" 28
STAUB10 11 SRC 2 "EMPLOYEES" 39
STAUB10 11 SRC 3 "WHO" 10
STAUB10 11 SRC 4 "NOTICED" 70
STAUB10 11 SRC 5 "THE" 38
STAUB10 11 SRC 6 "FIREMAN" 37
STAUB10 11 SRC 7 "HURRIED" 123
STAUB10 11 SRC 7 "TO" 80
STAUB10 11 SRC 7 "THE" 80
STAUB10 11 ORC 1 "THE" 70
STAUB10 11 ORC 2 "EMPLOYEES" 40
STAUB10 11 ORC 3 "WHO" 10
STAUB10 11 ORC 4 "THE" 237
STAUB10 11 ORC 5 "FIREMAN" 34
STAUB10 11 ORC 6 "NOTICED" 187
STAUB10 11 ORC 7 "HURRIED" 105
STAUB10 11 ORC 7 "TO" 80
STAUB10 11 ORC 7 "THE" 80
STAUB10 12 SRC 1 "THE" 40
STAUB10 12 SRC 2 "EMPLOYEES" 41
STAUB10 12 SRC 3 "WHO" 10
STAUB10 12 SRC 4 "NOTICED" 33
STAUB10 12 SRC 5 "THE" 70
STAUB10 12 SRC 6 "FIREMAN" 45
STAUB10 12 SRC 7 "HURRIED" 109
STAUB10 12 SRC 8 "TO" 70
STAUB10 12 SRC 9 "THE" 70
STAUB10 12 SRC 10 "CLINIC" 44
STAUB10 12 ORC 1 "THE" 70
STAUB10 12 ORC 2 "EMPLOYEES" 42
STAUB10 12 ORC 3 "WHO" 10
STAUB10 12 ORC 4 "THE" 205
STAUB10 12 ORC 5 "FIREMAN" 70
STAUB10 12 ORC 6 "NOTICED" 128
STAUB10 12 ORC 7 "HURRIED" 98
STAUB10 12 ORC 8 "TO" 70
STAUB10 12 ORC 9 "THE" 36
STAUB10 12 ORC 10 "CLINIC" 42
STAUB10 13 SRC 1 "THE" 70
STAUB10 13 SRC 2 "EMPLOYEES" 33
STAUB10 13 SRC 3 "WHO" 10
STAUB10 13 SRC 3 "NOTICED" 80
STAUB10 13 SRC 3 "THE" 80
STAUB10 13 SRC 3 "FIREMAN" 80
STAUB10 13 SRC 3 "HURRIED" 121
STAUB10 13 SRC 3 "TO" 80
STAUB10 13 SRC 3 "THE" 80
STAUB10 13 ORC 1 "THE" 45
STAUB10 13 ORC 2 "EMPLOYEES" 39
STAUB10 13 ORC 3 "WHO" 10
STAUB10 13 ORC 4 "THE" 134
STAUB10 13 ORC 5 "FIREMAN" 70
STAUB10 13 ORC 6 "NOTICED" 131
STAUB10 13 ORC 7 "HURRIED" 88
STAUB10 13 ORC 8 "TO" 38
STAUB10 13 ORC 9 "THE" 70
STAUB10 13 ORC 10 "CLINIC" 57
STAUB10 14 SRC 1 "THE" 70
STAUB10 14 SRC 2 "EMPLOYEES" 40
STAUB10 14 SRC 3 "WHO" 10
STAUB10 14 SRC 4 "NOTICED" 49
STAUB10 14 SRC 5 "THE" 41
STAUB10 14 SRC 6 "FIREMAN" 47
STAUB10 14 SRC 7 "HURRIED" 84
STAUB10 14 SRC 8 "TO" 70
STAUB10 14 SRC 9 "THE" 70
STAUB10 14 SRC 10 "CLINIC" 41
STAUB10 14 ORC 1 "THE" 70
STAUB10 14 ORC 2 "EMPLOYEES" 70
STAUB10 14 ORC 3 "WHO" 10
STAUB10 14 ORC 4 "THE" 220
STAUB10 14 ORC 5 "FIREMAN" 44
STAUB10 14 ORC 6 "NOTICED" 142
STAUB10 14 ORC 7 "HURRIED" 74
STAUB10 14 ORC 8 "TO" 42
STAUB10 14 ORC 9 "THE" 36
STAUB10 14 ORC 10 "CLINIC" 36
STAUB10 15 SRC 1 "THE" 70
STAUB10 15 SRC 2 "EMPLOYEES" 70
STAUB10 15 SRC 3 "WHO" 10
