experiment simulation item wn word enctime ecc freq1
STAUB10 1 SRC 1 "the" 22 1.564 .00370
STAUB10 1 SRC 2 "employees" 29 3.311 .00370
STAUB10 1 SRC 3 "who" 25 2.194 .00370
STAUB10 1 SRC 4 "noticed" 24 2.061 .00370
STAUB10 1 SRC 5 "the" 75 4.152 .00370
STAUB10 1 SRC 6 "fireman" 41 2.574 .00370
STAUB10 1 SRC 7 "hurried" 27 3.160 .00370
STAUB10 1 SRC 8 "to" 26 1.902 .00370
STAUB10 1 SRC 9 "the" 18 1.209 .00370
STAUB10 1 SRC 10 "clinic" 31 3.406 .00370
STAUB10 1 SRC 11 "*" 86 4.822 .00370
STAUB10 1 ORC 1 "the" 14 1.498 .00370
STAUB10 1 ORC 2 "employees" 29 2.572 .00370
STAUB10 1 ORC 3 "who" 23 2.730 .00370
STAUB10 1 ORC 4 "the" 19 1.819 .00370
STAUB10 1 ORC 1 "the" 163 6.389 .00370
STAUB10 1 ORC 2 "employees" 39 2.652 .00370
STAUB10 1 ORC 3 "who" 21 2.392 .00370
STAUB10 1 ORC 4 "the" 17 1.685 .00370
STAUB10 1 ORC 5 "fireman" 15 1.365 .00370
STAUB10 1 ORC 6 "noticed" 80 4.213 .00370
STAUB10 1 ORC 7 "hurried" 25 2.608 .00370
STAUB10 1 ORC 8 "to" 68 4.219 .00370
STAUB10 1 ORC 9 "the" 17 2.007 .00370
STAUB10 1 ORC 10 "clinic" 24 1.571 .00370
STAUB10 1 ORC 11 "*" 24 1.716 .00370
STAUB10 2 SRC 1 "the" 27 1.703 .00370
STAUB10 2 SRC 2 "employees" 26 2.480 .00370
STAUB10 2 SRC 3 "who" 33 2.305 .00370
STAUB10 2 SRC 4 "noticed" 28 2.763 .00370
STAUB10 2 SRC 5 "the" 21 2.198 .00370
STAUB10 2 SRC 6 "fireman" 26 1.881 .00370
STAUB10 2 SRC 7 "hurried" 34 3.248 .00370
STAUB10 2 SRC 8 "to" 24 2.308 .00370
STAUB10 2 SRC 9 "the" 17 1.015 .00370
STAUB10 2 SRC 10 "clinic" 27 2.150 .00370
STAUB10 2 SRC 11 "*" 22 2.097 .00370
STAUB10 2 ORC 1 "the" 17 1.539 .00370
STAUB10 2 ORC 2 "employees" 42 2.757 .00370
STAUB10 2 ORC 3 "who" 34 2.149 .00370
STAUB10 2 ORC 4 "the" 24 1.627 .00370
STAUB10 2 ORC 5 "fireman" 22 2.407 .00370
STAUB10 2 ORC 5 "fireman" 13 0.082 .00370
STAUB10 2 ORC 6 "noticed" 42 3.217 .00370
STAUB10 3 SRC 1 "the" 25 1.416 .00370
STAUB10 3 SRC 2 "employees" 38 2.554 .00370
STAUB10 3 SRC 3 "who" 27 2.591 .00370
STAUB10 3 SRC 4 "noticed" 35 2.177 .00370
STAUB10 3 SRC 5 "the" 23 2.399 .00370
STAUB10 3 SRC 6 "fireman" 42 2.679 .00370
STAUB10 3 SRC 7 "hurried" 37 2.815 .00370
STAUB10 3 SRC 8 "to" 22 2.001 .00370
STAUB10 3 SRC 9 "the" 24 1.239 .00370
STAUB10 3 SRC 10 "clinic" 22 1.575 .00370
STAUB10 3 SRC 11 "*" 55 3.832 .00370
STAUB10 3 ORC 1 "the" 21 1.581 .00370
STAUB10 3 ORC 2 "employees" 29 2.747 .00370
STAUB10 3 ORC 3 "who" 22 2.023 .00370
STAUB10 3 ORC 4 "the" 18 2.067 .00370
STAUB10 3 ORC 5 "fireman" 60 4.239 .00370
STAUB10 3 ORC 6 "noticed" 26 2.960 .00370
STAUB10 3 ORC 5 "fireman" 16 0.597 .00370
STAUB10 3 ORC 6 "noticed" 30 2.909 .00370
STAUB10 4 SRC 1 "the" 21 1.421 .00370
STAUB10 4 SRC 2 "employees" 43 2.860 .00370
STAUB10 4 SRC 3 "who" 26 2.040 .00370
STAUB10 4 SRC 4 "noticed" 66 4.983 .00370
STAUB10 4 SRC 5 "the" 32 1.956 .00370
STAUB10 4 SRC 6 "fireman" 29 1.962 .00370
STAUB10 4 SRC 7 "hurried" 37 3.403 .00370
STAUB10 4 SRC 8 "to" 18 1.626 .00370
STAUB10 4 SRC 9 "the" 16 1.429 .00370
STAUB10 4 SRC 10 "clinic" 23 2.041 .00370
STAUB10 4 SRC 11 "*" 29 1.935 .00370
STAUB10 4 ORC 1 "the" 18 1.396 .00370
STAUB10 4 ORC 2 "employees" 30 2.726 .00370
STAUB10 4 ORC 3 "who" 31 2.857 .00370
STAUB10 4 ORC 4 "the" 20 1.310 .00370
STAUB10 4 ORC 1 "the" 190 7.315 .00370
STAUB10 4 ORC 1 "the" 19 0.690 .00370
