experiment simulation item wn word fixdur
STAUB10 1 SRC 1 "The" 429
STAUB10 1 SRC 1 "The" 168
STAUB10 1 SRC 2 "employees" 198
STAUB10 1 SRC 3 "who" 355
STAUB10 1 SRC 5 "the" 275
STAUB10 1 SRC 6 "fireman" 209
STAUB10 1 SRC 7 "hurried" 176
STAUB10 1 SRC 8 "to" 392
STAUB10 1 ORC 1 "The" 428
STAUB10 1 ORC 1 "The" 152
STAUB10 1 ORC 2 "employees" 188
STAUB10 1 ORC 3 "who" 278
STAUB10 1 ORC 4 "the" 185
STAUB10 1 ORC 1 "The" 284
STAUB10 1 ORC 2 "employees" 200
STAUB10 1 ORC 3 "who" 146
STAUB10 1 ORC 4 "the" 180
STAUB10 1 ORC 5 "fireman" 158
STAUB10 1 ORC 6 "noticed" 300
STAUB10 1 ORC 8 "to" 599
STAUB10 1 ORC 9 "the" 552
STAUB10 1 ORC 10 "clinic" 452
STAUB10 2 SRC 1 "The" 451
STAUB10 2 SRC 1 "The" 185
STAUB10 2 SRC 2 "employees" 162
STAUB10 2 SRC 3 "who" 251
STAUB10 2 SRC 4 "noticed" 147
STAUB10 2 SRC 5 "the" 180
STAUB10 2 SRC 6 "fireman" 148
STAUB10 2 SRC 7 "hurried" 241
STAUB10 2 SRC 8 "to" 179
STAUB10 2 SRC 9 "the" 189
STAUB10 2 SRC 10 "clinic" 195
STAUB10 2 ORC 1 "The" 454
STAUB10 2 ORC 1 "The" 142
STAUB10 2 ORC 2 "employees" 264
STAUB10 2 ORC 3 "who" 146
STAUB10 2 ORC 4 "the" 228
STAUB10 2 ORC 5 "fireman" 443
STAUB10 2 ORC 5 "fireman" 511
STAUB10 3 SRC 1 "The" 464
STAUB10 3 SRC 1 "The" 170
STAUB10 3 SRC 2 "employees" 199
STAUB10 3 SRC 3 "who" 240
STAUB10 3 SRC 4 "noticed" 175
STAUB10 3 SRC 5 "the" 161
STAUB10 3 SRC 6 "fireman" 225
STAUB10 3 SRC 7 "hurried" 228
STAUB10 3 SRC 8 "to" 181
STAUB10 3 SRC 9 "the" 288
STAUB10 3 ORC 1 "The" 440
STAUB10 3 ORC 1 "The" 220
STAUB10 3 ORC 2 "employees" 162
STAUB10 3 ORC 3 "who" 327
STAUB10 3 ORC 5 "fireman" 525
STAUB10 3 ORC 5 "fireman" 441
STAUB10 4 SRC 1 "The" 437
STAUB10 4 SRC 1 "The" 149
STAUB10 4 SRC 2 "employees" 358
STAUB10 4 SRC 4 "noticed" 227
STAUB10 4 SRC 5 "the" 512
STAUB10 4 SRC 6 "fireman" 397
STAUB10 4 SRC 7 "hurried" 448
STAUB10 4 SRC 8 "to" 516
STAUB10 4 SRC 9 "the" 494
STAUB10 4 SRC 10 "clinic" 475
STAUB10 4 ORC 1 "The" 407
STAUB10 4 ORC 1 "The" 271
STAUB10 4 ORC 2 "employees" 164
STAUB10 4 ORC 3 "who" 259
STAUB10 4 ORC 4 "the" 158
STAUB10 4 ORC 1 "The" 332
STAUB10 4 ORC 2 "employees" 156
STAUB10 4 ORC 3 "who" 217
STAUB10 4 ORC 4 "the" 186
STAUB10 4 ORC 5 "fireman" 230
STAUB10 4 ORC 6 "noticed" 201
STAUB10 4 ORC 7 "hurried" 151
STAUB10 4 ORC 8 "to" 217
STAUB10 4 ORC 9 "the" 311
STAUB10 5 SRC 1 "The" 449
STAUB10 5 SRC 1 "The" 352
STAUB10 5 SRC 3 "who" 273
STAUB10 5 SRC 4 "noticed" 251
STAUB10 5 SRC 5 "the" 162
STAUB10 5 SRC 6 "fireman" 184
STAUB10 5 SRC 7 "hurried" 261
STAUB10 5 SRC 9 "the" 560
STAUB10 5 SRC 10 "clinic" 463
STAUB10 5 ORC 1 "The" 403
STAUB10 5 ORC 1 "The" 198
STAUB10 5 ORC 2 "employees" 178
STAUB10 5 ORC 3 "who" 213
STAUB10 5 ORC 4 "the" 189
STAUB10 5 ORC 1 "The" 421
STAUB10 5 ORC 3 "who" 318
STAUB10 5 ORC 5 "fireman" 205
STAUB10 5 ORC 6 "noticed" 230
STAUB10 5 ORC 7 "hurried" 207
STAUB10 5 ORC 8 "to" 262
STAUB10 5 ORC 10 "clinic" 209
STAUB10 6 SRC 1 "The" 613
STAUB10 6 SRC 2 "employees" 147
STAUB10 6 SRC 3 "who" 252
STAUB10 6 SRC 4 "noticed" 340
STAUB10 6 SRC 6 "fireman" 440
STAUB10 6 SRC 9 "the" 547
STAUB10 6 SRC 10 "clinic" 500
STAUB10 6 ORC 1 "The" 438
STAUB10 6 ORC 1 "The" 214
STAUB10 6 ORC 2 "employees" 324
STAUB10 6 ORC 4 "the" 223
STAUB10 6 ORC 5 "fireman" 483
STAUB10 6 ORC 2 "employees" 322
STAUB10 6 ORC 3 "who" 188
STAUB10 6 ORC 4 "the" 202
STAUB10 6 ORC 5 "fireman" 529
STAUB10 6 ORC 7 "hurried" 241
STAUB10 6 ORC 8 "to" 167
STAUB10 6 ORC 9 "the" 139
STAUB10 6 ORC 10 "clinic" 136
STAUB10 7 SRC 1 "The" 410
STAUB10 7 SRC 1 "The" 135
STAUB10 7 SRC 2 "employees" 278
STAUB10 7 SRC 3 "who" 301
STAUB10 7 SRC 5 "the" 209
STAUB10 7 SRC 6 "fireman" 213
STAUB10 7 SRC 7 "hurried" 164
STAUB10 7 SRC 8 "to" 151
STAUB10 7 SRC 9 "the" 173
STAUB10 7 SRC 10 "clinic" 217
STAUB10 7 ORC 1 "The" 407
STAUB10 7 ORC 1 "The" 211
STAUB10 7 ORC 2 "employees" 162
STAUB10 7 ORC 3 "who" 352
STAUB10 7 ORC 5 "fireman" 620
STAUB10 7 ORC 3 "who" 203
STAUB10 7 ORC 4 "the" 235
STAUB10 7 ORC 5 "fireman" 580
STAUB10 7 ORC 8 "to" 362
STAUB10 7 ORC 9 "the" 167
STAUB10 7 ORC 10 "clinic" 179
STAUB10 8 SRC 1 "The" 449
STAUB10 8 SRC 1 "The" 184
STAUB10 8 SRC 2 "employees" 287
STAUB10 8 SRC 4 "noticed" 247
STAUB10 8 SRC 5 "the" 422
STAUB10 8 SRC 6 "fireman" 552
STAUB10 8 SRC 7 "hurried" 408
STAUB10 8 SRC 8 "to" 566
STAUB10 8 SRC 10 "clinic" 401
STAUB10 8 ORC 1 "The" 595
STAUB10 8 ORC 2 "employees" 190
STAUB10 8 ORC 3 "who" 308
STAUB10 8 ORC 5 "fireman" 632
STAUB10 8 ORC 3 "who" 258
STAUB10 8 ORC 4 "the" 235
STAUB10 8 ORC 5 "fireman" 406
STAUB10 8 ORC 6 "noticed" 143
STAUB10 8 ORC 7 "hurried" 250
STAUB10 8 ORC 9 "the" 174
STAUB10 8 ORC 10 "clinic" 232
STAUB10 9 SRC 1 "The" 567
STAUB10 9 SRC 2 "employees" 218
STAUB10 9 SRC 3 "who" 261
STAUB10 9 SRC 4 "noticed" 332
STAUB10 9 SRC 6 "fireman" 206
STAUB10 9 SRC 7 "hurried" 183
STAUB10 9 SRC 8 "to" 158
STAUB10 9 SRC 9 "the" 153
STAUB10 9 SRC 10 "clinic" 175
STAUB10 9 ORC 1 "The" 464
STAUB10 9 ORC 1 "The" 222
STAUB10 9 ORC 2 "employees" 186
STAUB10 9 ORC 3 "who" 191
STAUB10 9 ORC 4 "the" 205
STAUB10 9 ORC 4 "the" 162
STAUB10 9 ORC 5 "fireman" 148
STAUB10 9 ORC 6 "noticed" 214
STAUB10 9 ORC 7 "hurried" 251
STAUB10 9 ORC 8 "to" 326
STAUB10 9 ORC 10 "clinic" 225
STAUB10 10 SRC 1 "The" 586
STAUB10 10 SRC 2 "employees" 208
STAUB10 10 SRC 3 "who" 210
STAUB10 10 SRC 4 "noticed" 196
STAUB10 10 SRC 5 "the" 159
STAUB10 10 SRC 6 "fireman" 136
STAUB10 10 SRC 7 "hurried" 227
STAUB10 10 SRC 8 "to" 240
STAUB10 10 SRC 9 "the" 166
STAUB10 10 SRC 10 "clinic" 198
STAUB10 10 ORC 1 "The" 483
STAUB10 10 ORC 1 "The" 207
STAUB10 10 ORC 2 "employees" 141
STAUB10 10 ORC 3 "who" 215
STAUB10 10 ORC 4 "the" 233
STAUB10 10 ORC 4 "the" 382
STAUB10 10 ORC 6 "noticed" 211
STAUB10 10 ORC 7 "hurried" 231
STAUB10 10 ORC 8 "to" 169
STAUB10 10 ORC 9 "the" 184
STAUB10 10 ORC 10 "clinic" 189
STAUB10 11 SRC 1 "The" 544
STAUB10 11 SRC 2 "employees" 241
STAUB10 11 SRC 3 "who" 245
STAUB10 11 SRC 4 "noticed" 147
STAUB10 11 SRC 5 "the" 155
STAUB10 11 SRC 6 "fireman" 208
STAUB10 11 SRC 7 "hurried" 129
STAUB10 11 SRC 8 "to" 200
STAUB10 11 SRC 9 "the" 474
STAUB10 11 SRC 10 "clinic" 477
STAUB10 11 ORC 1 "The" 471
STAUB10 11 ORC 1 "The" 173
STAUB10 11 ORC 2 "employees" 269
STAUB10 11 ORC 3 "who" 352
STAUB10 11 ORC 1 "The" 336
STAUB10 11 ORC 2 "employees" 145
STAUB10 11 ORC 3 "who" 177
STAUB10 11 ORC 4 "the" 191
STAUB10 11 ORC 5 "fireman" 186
STAUB10 11 ORC 6 "noticed" 202
STAUB10 11 ORC 7 "hurried" 260
STAUB10 11 ORC 9 "the" 531
STAUB10 11 ORC 10 "clinic" 478
STAUB10 12 SRC 1 "The" 473
STAUB10 12 SRC 1 "The" 193
STAUB10 12 SRC 2 "employees" 189
STAUB10 12 SRC 3 "who" 227
STAUB10 12 SRC 4 "noticed" 188
STAUB10 12 SRC 5 "the" 171
STAUB10 12 SRC 6 "fireman" 142
STAUB10 12 SRC 7 "hurried" 257
STAUB10 12 SRC 8 "to" 189
STAUB10 12 SRC 9 "the" 173
STAUB10 12 SRC 10 "clinic" 191
STAUB10 12 ORC 1 "The" 452
STAUB10 12 ORC 1 "The" 298
STAUB10 12 ORC 3 "who" 458
STAUB10 12 ORC 2 "employees" 246
STAUB10 12 ORC 3 "who" 315
STAUB10 12 ORC 5 "fireman" 181
STAUB10 12 ORC 6 "noticed" 209
STAUB10 12 ORC 7 "hurried" 182
STAUB10 12 ORC 8 "to" 274
STAUB10 12 ORC 10 "clinic" 278
STAUB10 13 SRC 1 "The" 426
STAUB10 13 SRC 1 "The" 212
STAUB10 13 SRC 2 "employees" 186
STAUB10 13 SRC 3 "who" 179
STAUB10 13 SRC 4 "noticed" 194
STAUB10 13 SRC 5 "the" 499
STAUB10 13 SRC 6 "fireman" 516
STAUB10 13 SRC 7 "hurried" 524
STAUB10 13 SRC 8 "to" 500
STAUB10 13 SRC 9 "the" 490
STAUB10 13 SRC 10 "clinic" 472
STAUB10 13 ORC 1 "The" 418
STAUB10 13 ORC 1 "The" 284
STAUB10 13 ORC 3 "who" 345
STAUB10 13 ORC 4 "the" 177
STAUB10 13 ORC 5 "fireman" 172
STAUB10 13 ORC 6 "noticed" 239
STAUB10 13 ORC 7 "hurried" 177
STAUB10 13 ORC 8 "to" 204
STAUB10 13 ORC 9 "the" 343
STAUB10 14 SRC 1 "The" 435
STAUB10 14 SRC 1 "The" 181
STAUB10 14 SRC 2 "employees" 173
STAUB10 14 SRC 3 "who" 433
STAUB10 14 SRC 5 "the" 169
STAUB10 14 SRC 6 "fireman" 266
STAUB10 14 SRC 7 "hurried" 336
STAUB10 14 SRC 9 "the" 141
STAUB10 14 SRC 10 "clinic" 269
STAUB10 14 ORC 1 "The" 423
STAUB10 14 ORC 1 "The" 179
STAUB10 14 ORC 2 "employees" 130
STAUB10 14 ORC 3 "who" 266
STAUB10 14 ORC 4 "the" 197
STAUB10 14 ORC 4 "the" 259
STAUB10 14 ORC 5 "fireman" 223
STAUB10 14 ORC 6 "noticed" 210
STAUB10 14 ORC 7 "hurried" 212
STAUB10 14 ORC 8 "to" 312
STAUB10 14 ORC 10 "clinic" 143
STAUB10 15 SRC 1 "The" 441
STAUB10 15 SRC 1 "The" 190
STAUB10 15 SRC 2 "employees" 164
STAUB10 15 SRC 3 "who" 233
STAUB10 15 SRC 4 "noticed" 331
STAUB10 15 SRC 6 "fireman" 162
STAUB10 15 SRC 7 "hurried" 236
STAUB10 15 SRC 9 "the" 564
STAUB10 15 SRC 10 "clinic" 480
STAUB10 15 ORC 1 "The" 425
STAUB10 15 ORC 1 "The" 180
STAUB10 15 ORC 2 "employees" 207
STAUB10 15 ORC 3 "who" 317
STAUB10 15 ORC 5 "fireman" 466
STAUB10 15 ORC 3 "who" 301
STAUB10 15 ORC 4 "the" 275
STAUB10 15 ORC 5 "fireman" 557
STAUB10 15 ORC 7 "hurried" 471
STAUB10 15 ORC 10 "clinic" 204
STAUB10 16 SRC 1 "The" 441
STAUB10 16 SRC 1 "The" 160
STAUB10 16 SRC 2 "employees" 272
STAUB10 16 SRC 3 "who" 231
STAUB10 16 SRC 4 "noticed" 211
STAUB10 16 SRC 5 "the" 177
STAUB10 16 SRC 6 "fireman" 269
STAUB10 16 SRC 7 "hurried" 177
STAUB10 16 SRC 8 "to" 261
STAUB10 16 SRC 9 "the" 178
STAUB10 16 SRC 10 "clinic" 168
STAUB10 16 ORC 1 "The" 569
STAUB10 16 ORC 2 "employees" 220
STAUB10 16 ORC 3 "who" 233
STAUB10 16 ORC 4 "the" 133
STAUB10 16 ORC 5 "fireman" 529
STAUB10 16 ORC 3 "who" 191
STAUB10 16 ORC 4 "the" 332
STAUB10 16 ORC 5 "fireman" 457
STAUB10 16 ORC 6 "noticed" 134
STAUB10 16 ORC 7 "hurried" 543
STAUB10 17 SRC 1 "The" 450
STAUB10 17 SRC 1 "The" 220
STAUB10 17 SRC 2 "employees" 204
STAUB10 17 SRC 3 "who" 344
STAUB10 17 SRC 5 "the" 199
STAUB10 17 SRC 6 "fireman" 173
STAUB10 17 SRC 7 "hurried" 284
STAUB10 17 SRC 9 "the" 559
STAUB10 17 SRC 10 "clinic" 434
STAUB10 17 ORC 1 "The" 391
